Subject,TrainingTask,FinalTestCondition,CorrectPercentage,Efficiency (Word Learned/Minute)
55,CE,CE,0.5833333333333334,1.7485501604919254
55,EC,CE,0.375,1.3144826780393761
55,PI,CE,0.8333333333333334,2.1149175710876666
55,RE,CE,0.25,2.4549918166939446
56,CE,EC,0.08333333333333333,0.23666118401590366
56,EC,EC,0.125,0.2858976232377588
56,PI,EC,0.25,0.6287309066648968
56,RE,EC,0.08333333333333333,0.29820332496707336
57,CE,CE,0.16666666666666666,0.584726932522512
57,EC,CE,0.08333333333333333,0.24404628744585222
57,PI,CE,0.16666666666666666,0.43756016452262186
57,RE,CE,0.08333333333333333,0.5797717631825605
58,CE,CE,0.16666666666666666,0.4473839225131046
58,EC,CE,0.08333333333333333,0.2081743112899868
58,PI,CE,0.08333333333333333,0.18358841924251418
58,RE,CE,0.125,1.3678227301741694
59,CE,CE,0.16666666666666666,0.5694085268926902
59,EC,CE,0.3333333333333333,1.374192661811186
59,PI,CE,0.4166666666666667,1.664373529803382
59,RE,CE,0.09090909090909091,1.3889210398388852
60,CE,EC,0.4583333333333333,0.5075025798047806
60,EC,EC,0.20833333333333334,0.3084433276511218
60,PI,EC,0.4166666666666667,0.44372396819386595
60,RE,EC,0.25,0.973083431092178
61,CE,EC,0.041666666666666664,0.16978793486934818
61,EC,EC,0.18181818181818182,0.6231467874186664
61,PI,EC,0.1,0.324454105966711
61,RE,EC,0.041666666666666664,0.19704174657804163
62,CE,EC,0.7083333333333334,1.7359042870028418
62,EC,EC,0.7727272727272727,1.834882189769992
62,PI,EC,0.4166666666666667,0.8834780764915318
62,RE,EC,0.3333333333333333,1.8359993574002251
63,CE,CE,0.18181818181818182,0.3789421828964446
63,EC,CE,0,0
63,PI,CE,0.16666666666666666,0.3484765765661118
63,RE,CE,0,0
64,CE,CE,0.18181818181818182,0.6093257303022763
64,EC,CE,0,0
64,PI,CE,0.3,0.8892270147167071
64,RE,CE,0.1,0.6181042741910561
65,CE,EC,0.09090909090909091,0.4108604101756428
65,EC,EC,0,0
65,PI,EC,0.20833333333333334,0.724942367081817
65,RE,EC,0,0
66,CE,EC,0.18181818181818182,0.39505912718270164
66,EC,EC,0.36363636363636365,0.3887754060678122
66,PI,EC,0.3333333333333333,0.3921575035253325
66,RE,EC,0,0
67,CE,CE,0.08333333333333333,0.35238979009314836
67,EC,CE,0.08333333333333333,0.2507197746864958
67,PI,CE,0.08333333333333333,0.20668772584940043
67,RE,CE,0,0
68,CE,EC,0,0
68,EC,EC,0,0
68,PI,EC,0,0
68,RE,EC,0,0
69,CE,CE,0.20833333333333334,0.692421675568132
69,EC,CE,0,0
69,PI,CE,0.16666666666666666,0.3830806065442937
69,RE,CE,0.08333333333333333,1.836997122037842
70,CE,EC,0.5,1.2876033838216927
70,EC,EC,0.2222222222222222,0.6673711139536177
70,PI,EC,0.5,1.3461915018601918
70,RE,EC,0,0
71,CE,CE,0.3333333333333333,0.6796806633683274
71,EC,CE,0.18181818181818182,0.3516885446248802
71,PI,CE,0.5909090909090909,0.9796558142572576
71,RE,CE,0.08333333333333333,0.3334000133360005
72,CE,EC,0.20833333333333334,0.561377245508982
72,EC,EC,0.3,0.7589364770168737
72,PI,EC,0.4,1.364442625187611
72,RE,EC,0.2,1.4971927635683093
73,CE,CE,0.09090909090909091,0.084437470534841
73,EC,CE,0.09090909090909091,0.04568400374608831
73,PI,CE,0.2222222222222222,0.24127780726728756
73,RE,CE,0.4166666666666667,2.645059469753745
74,CE,EC,0.3181818181818182,0.9300471666777387
74,EC,EC,0.16666666666666666,0.5445164920432528
74,PI,EC,0.3333333333333333,0.9706931558043407
74,RE,EC,0.041666666666666664,0.21445881318492785
75,CE,CE,0.6666666666666666,1.5014451409481626
75,EC,CE,0.16666666666666666,0.45116683021464254
75,PI,CE,0.1,0.1997330235252213
75,RE,CE,0.18181818181818182,1.5202189115232594
76,CE,EC,0.3333333333333333,1.2786293093803445
76,EC,EC,0.25,1.032116009839506
76,PI,EC,0.08333333333333333,0.31764687197242825
76,RE,EC,0.125,0.8800406774357571
77,CE,CE,0.09090909090909091,0.285866747979875
77,EC,CE,0,0
77,PI,CE,0.2222222222222222,0.6691089142035095
77,RE,CE,0.1,0.7902431314701156
78,CE,EC,0.5416666666666666,1.197211418327158
78,EC,EC,0.25,0.9209987720016373
78,PI,EC,0.5833333333333334,1.3600023314325684
78,RE,EC,0.045454545454545456,0.3992387847171393
79,CE,CE,0.5909090909090909,1.1143143680837506
79,EC,CE,0.20833333333333334,0.44685015326960253
79,PI,CE,0.4,0.7866453835387898
79,RE,CE,0.2727272727272727,2.380983875448088
80,CE,CE,0.5,0.636703854888117
80,EC,CE,0.16666666666666666,0.29511147836095086
80,PI,CE,0.5833333333333334,0.8910973014603387
80,RE,CE,0.8333333333333334,1.1229982556093763
81,CE,CE,0.5,0.7750185681531954
81,EC,CE,0.25,0.4418403140011832
81,PI,CE,0.4583333333333333,0.5015876007545094
81,RE,CE,0.125,0.47901896915117836
82,CE,CE,0.16666666666666666,0.5180877381584571
82,EC,CE,0.16666666666666666,0.4824489106705638
82,PI,CE,0.25,0.6939491489484744
