Subject,TrainingTask,FinalTestCondition,CorrectPercentage,Efficiency(Word Learned /Minute)
40,PI,EC,0.2727272727272727,0.5470326517711702
40,RE,EC,0,0
41,CE,EC,0.6666666666666666,1.427755568246716
41,EC,EC,0.8333333333333334,2.267008229239872
41,PI,EC,0.75,1.2212994626282365
41,RE,EC,0.75,1.2043678407022802
42,CE,CE,0.6666666666666666,1.1232563200718884
42,EC,CE,0.16666666666666666,0.2654943615634963
42,PI,CE,0.8888888888888888,1.6491161767989968
42,RE,CE,0.125,1.2356611817039767
43,CE,EC,0.2727272727272727,0.9624896398684598
43,EC,EC,0.08333333333333333,0.3628337314425664
43,PI,EC,0.1111111111111111,0.39610496781647136
43,RE,EC,0,0
44,CE,EC,0.2,0.44317728568685094
44,EC,EC,0.5454545454545454,1.0554584794361508
44,PI,EC,0.5833333333333334,1.2445108183547566
44,RE,EC,0.09090909090909091,0.434691260532207
45,CE,CE,0.3,0.7058048528004769
45,EC,CE,0.09090909090909091,0.18361707271542108
45,PI,CE,0.3,0.632168971742047
45,RE,CE,0.09090909090909091,0.37969636946988056
46,CE,CE,0.5,1.3176580823682709
46,EC,CE,0.08333333333333333,0.18813849501746552
46,PI,CE,0.5833333333333334,1.3487822423183642
46,RE,CE,0.45454545454545453,5.067054014795798
47,CE,EC,0.25,0.5367014329928261
47,EC,EC,0.6666666666666666,1.2045018255730793
47,PI,EC,0.6666666666666666,0.9404591399893022
47,RE,EC,0.25,0.8834139039532772
48,CE,CE,0.4166666666666667,0.6184457633372983
48,EC,CE,0.1,0.2719633030849704
48,PI,CE,0.45454545454545453,0.8630833364500231
48,RE,CE,0.2,0.7656283895006826
49,CE,EC,0.8181818181818182,2.1393001319235085
49,EC,EC,0.9090909090909091,2.1809933697801562
49,PI,EC,0.6,1.297007515437992
49,RE,EC,0.6666666666666666,3.2595409479831594
50,CE,CE,0.08333333333333333,0.30106124087408115
50,EC,CE,0,0
50,PI,CE,0.25,0.9300451071876985
50,RE,CE,0.09090909090909091,0.8401125750850614
51,CE,EC,0.4166666666666667,0.923639632760882
51,EC,EC,0.08333333333333333,0.2224009667028686
51,PI,EC,0.3333333333333333,0.720121700567396
51,RE,EC,0.08333333333333333,0.5432223952486148
52,CE,CE,0,0
52,EC,CE,0,0
52,PI,CE,0,0
52,RE,CE,0,0
53,CE,EC,0.4166666666666667,0.6695741062301639
53,EC,EC,0.4166666666666667,0.7011934312199364
